ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,7/29/2016,8/1/2016,3,1
Mira River,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/24/2016,2,1
Salsman,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,7/17/2016,7/20/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/26/2016,8/28/2016,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 40ft,9/16/2016,9/18/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,6/17/2016,6/20/2016,3,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/10/2016,7/17/2016,7,1
Laurie,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/2/2016,7/3/2016,1,1
Amherst Shore,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/13/2016,7/14/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/4/2016,8/7/2016,3,1
Laurie,NB ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,6/17/2016,6/19/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,7/22/2016,7/24/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Veteran,CampsitePermit,Less than 30ft,7/21/2016,7/22/2016,1,1
Mira River,ON ,CANADA ,4,,4,Full,CampsitePermit,Less than 40ft,7/4/2016,7/5/2016,1,1
Porters Lake,QC ,CANADA ,5,,5,Full,CampsitePermit,Single Tent,8/2/2016,8/3/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/9/2016,8/10/2016,1,1
Blomidon,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/24/2016,8/26/2016,2,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/2/2016,9/5/2016,3,1
Valleyview,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/13/2016,7/14/2016,1,1
Smileys,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/12/2016,8/15/2016,3,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/18/2016,8/21/2016,3,1
Smileys,NB ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/7/2016,8/8/2016,1,1
Rissers Beach,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,8/28/2016,8/29/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/29/2016,7/31/2016,2,1
Graves Island,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,7/20/2016,7/21/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,10/7/2016,10/10/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/26/2016,7/29/2016,3,1
Whycocomagh,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/28/2016,7/29/2016,1,1
Five Islands,NS ,CANADA ,2,1,3,Full,CampsitePermit,Tents,8/5/2016,8/7/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,5/20/2016,5/23/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/8/2016,8/10/2016,2,1
Mira River,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/21/2016,7/24/2016,3,1
Blomidon,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,6/10/2016,6/12/2016,2,1
Caribou Munroes,ON ,CANADA ,3,,3,Full,CampsitePermit,Less than 30ft,7/31/2016,8/1/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/24/2016,6/26/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,9/23/2016,9/25/2016,2,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/22/2016,9/23/2016,1,1
Graves Island,QC ,CANADA ,2,,2,FULL,CampsitePermit,Less than 30ft,7/24/2016,7/28/2016,4,1
Graves Island,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/2/2016,8/4/2016,2,1
Caribou Munroes,QC ,CANADA ,1,,1,Senior,CampsitePermit,Less than 20ft,9/9/2016,9/10/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/7/2016,8/10/2016,3,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/9/2016,9/11/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/24/2016,8/25/2016,1,1
Caribou Munroes,NS ,CANADA ,3,3,6,Veteran,CampsitePermit,Less than 30ft,8/7/2016,8/9/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,6/17/2016,6/19/2016,2,1
Whycocomagh,PE ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/9/2016,9/10/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/4/2016,7/5/2016,1,1
Battery,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,9/12/2016,9/13/2016,1,1
Laurie,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,6/25/2016,6/26/2016,1,1
Caribou Munroes,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,8/18/2016,8/22/2016,4,1
